Δν (CM⁻¹),INTENSITY
275.347400,0.379599
273.261650,0.381271
271.174550,0.382107
269.087450,0.382107
267.001700,0.390468
264.914600,0.390468
262.828850,0.392140
260.741750,0.392977
258.656000,0.396321
256.568900,0.402174
254.481800,0.402174
252.396050,0.403846
250.308950,0.408027
248.223200,0.410535
246.136100,0.413880
244.049000,0.415552
241.963250,0.419732
239.876150,0.423913
237.790400,0.428094
235.703300,0.433110
233.616200,0.435619
231.530450,0.439799
229.443350,0.444816
227.357600,0.450669
225.270500,0.454013
223.183400,0.461538
221.097650,0.465719
219.010550,0.472408
216.924800,0.474080
214.837700,0.479933
212.750600,0.484950
210.664850,0.498518
208.577750,0.512086
206.492000,0.525654
204.404900,0.539222
202.317800,0.546823
200.232050,0.566358
198.144950,0.579926
196.059200,0.593493
193.972100,0.607061
191.885000,0.620629
189.799250,0.634197
187.712150,0.647765
185.626400,0.661333
183.539300,0.674901
181.452200,0.688469
179.366450,0.702037
177.279350,0.715605
175.193600,0.729173
173.106500,0.742741
171.020750,0.756309
168.933650,0.769877
166.846550,0.783445
164.760800,0.774247
162.673700,0.929766
160.587950,0.877926
158.500850,0.463211
156.413750,0.383152
154.328000,0.303094
152.240900,0.222408
150.155150,0.195931
148.068050,0.169454
145.980950,0.142977
143.895200,0.142140
141.808100,0.127090
139.722350,0.153010
137.635250,0.155518
135.548150,0.157191
133.462400,0.157191
131.375300,0.158027
129.289550,0.157191
127.202450,0.156355
125.115350,0.155518
123.029600,0.153010
120.942500,0.127090
118.856750,0.128763
116.769650,0.142977
114.682550,0.142977
